MSSV,NMDT,CTRR,HTS,KTLT,CTDLGT,KTMT,LTHDT,MHH,HCSDL,HDH,NMTTNT,DHMT,MMANM
80711285,6.5,8.0,6.0,7.5,8.0,8.0,9.0,8.0,8.0,8.0,1,1,0
80820783,8.5,6.5,6.5,6.5,6.0,7.5,7.5,6.5,6.0,6.5,0,0,0
81331655,7.5,7.0,8.0,7.0,9.5,7.5,8.5,8.5,8.5,8.0,1,0,0
81575184,7.5,5.5,5.5,7.0,3.0,3.5,5.5,6.5,5.0,0.5,0,0,0
81617856,9.0,7.0,5.5,7.5,5.5,8.0,6.5,6.5,6.5,7.0,0,0,0
81886938,8.0,6.5,0.0,6.0,4.0,7.5,5.5,5.0,0.0,5.0,0,0,0
82335572,7.5,7.5,5.0,6.5,5.0,6.0,7.0,6.5,6.5,6.5,1,0,1
82629047,9.0,6.5,4.5,7.0,2.5,6.5,7.5,6.5,7.5,7.5,1,1,1
82740655,7.5,7.5,7.5,7.0,6.5,6.0,7.5,7.5,8.0,8.0,1,0,1
83034944,6.0,6.5,1.0,5.5,4.0,4.0,5.0,5.0,5.5,5.0,0,0,0
83288626,7.0,6.5,5.0,5.0,5.5,5.0,7.0,5.5,6.5,7.0,1,1,0
84224967,7.0,7.5,8.0,8.0,8.0,7.5,8.0,8.5,8.0,6.5,0,1,1
84252601,8.5,4.5,5.0,6.5,5.5,7.0,6.5,7.0,6.5,7.5,0,0,0
84376085,6.5,7.0,6.0,7.5,7.0,5.0,7.0,5.0,5.0,5.5,1,0,0
84589986,9.0,7.5,9.0,8.5,8.5,9.0,9.5,9.0,8.5,9.0,0,0,1
84663152,8.5,7.0,8.5,8.0,6.0,8.5,7.5,8.0,6.0,8.0,0,0,0
85594477,8.0,7.5,6.5,8.0,7.5,7.5,7.5,9.0,7.5,9.0,1,1,1
86141195,7.5,6.0,2.5,2.5,4.5,6.0,6.5,6.0,7.0,7.5,0,0,0
86518289,7.5,7.0,6.0,7.5,8.0,7.0,7.5,8.5,9.0,8.0,1,0,0
87999092,6.0,6.5,2.5,1.5,5.0,5.0,5.0,7.5,7.0,6.5,0,0,0
88577131,9.0,9.5,9.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,0,0,0
88961649,6.5,6.0,6.5,5.5,6.5,7.5,7.5,7.0,6.5,8.0,1,0,0
89248577,8.0,7.5,6.0,8.5,9.5,9.0,9.5,9.5,8.5,7.5,0,1,0
89519795,7.0,5.0,7.0,7.5,8.0,9.5,8.0,8.5,6.5,7.5,0,0,0
89551317,9.0,7.0,8.0,8.5,7.0,7.5,7.5,8.0,6.0,8.0,1,0,0
90079691,7.5,5.0,1.0,1.5,0.0,3.0,6.0,0.0,3.0,2.0,0,0,0
